ob,variable,phase,low_to_high_excess_z,high_to_low_excess_z,signed_separation_z,mirror_opposite_sign,mirror_balance,low_to_high_gate,high_to_low_gate,signed_class,interpretation
2,all_tangential,near_pre,-0.29326495506122585,0.326148873909048,-0.6194138289702739,True,0.899175126825695,True,True,mirror_symmetric_opposite_sign,Both transition directions pass and have balanced opposite signs.
2,all_tangential,near_post,0.20383112744975435,0.06093359894217196,0.1428975285075824,False,0.29894157827877627,True,False,low_to_high_dominant,Only low-to-high passes the event-type gate.
2,shell_edge_minus_core,near_pre,-0.28481134075084075,-0.23603927149628812,-0.04877206925455263,False,0.8287565757530017,True,True,same_direction_both_event_types,Both transition directions pass but shift in the same sign.
2,shell_edge_minus_core,near_post,0.22886748096828796,-0.009787140019363965,0.23865462098765192,True,0.04276334924453543,True,False,low_to_high_dominant,Only low-to-high passes the event-type gate.
2,shell_core_tangential,near_pre,0.09627821024203606,0.06505563673913847,0.031222573502897588,False,0.6757046747710991,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
2,shell_core_tangential,near_post,-0.28499758403032016,0.16426552956595744,-0.4492631135962776,True,0.5763751651609849,True,True,mirror_symmetric_opposite_sign,Both transition directions pass and have balanced opposite signs.
2,shell_middle_tangential,near_pre,-0.06270882548295323,0.05079015998506073,-0.11349898546801396,True,0.8099363940226807,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
2,shell_middle_tangential,near_post,0.3999108616204597,0.007901802100166395,0.3920090595202933,False,0.01975890844311625,True,False,low_to_high_dominant,Only low-to-high passes the event-type gate.
2,shell_edge_tangential,near_pre,-0.3341213841881221,-0.0452306679574007,-0.2888907162307214,False,0.13537196389661263,True,False,low_to_high_dominant,Only low-to-high passes the event-type gate.
2,shell_edge_tangential,near_post,0.23860270330380054,-0.039259968906147344,0.27786267220994787,True,0.16454117393699286,True,False,low_to_high_dominant,Only low-to-high passes the event-type gate.
5,all_tangential,near_pre,-0.24857695005117206,0.1764111792227713,-0.42498812927394336,True,0.7096843821861009,True,True,mirror_symmetric_opposite_sign,Both transition directions pass and have balanced opposite signs.
5,all_tangential,near_post,-0.06721918555103293,-0.08783199686477182,0.02061281131373889,False,0.7653154653255253,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
5,shell_edge_minus_core,near_pre,0.05887130766857808,0.09801435803259072,-0.03914305036401264,False,0.6006396292367981,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
5,shell_edge_minus_core,near_post,-0.23396667777148739,0.01736127649362085,-0.25132795426510823,True,0.07420405614588166,True,False,low_to_high_dominant,Only low-to-high passes the event-type gate.
5,shell_core_tangential,near_pre,-0.1062550957461338,0.12637123352373433,-0.23262632926986815,True,0.8408171130669352,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
5,shell_core_tangential,near_post,0.16970482666967907,-0.23669089458091508,0.40639572125059414,True,0.7169892486576572,True,True,mirror_symmetric_opposite_sign,Both transition directions pass and have balanced opposite signs.
5,shell_middle_tangential,near_pre,0.018750875546116635,0.4637302349023691,-0.44497935935625244,False,0.04043487815726384,False,True,high_to_low_dominant,Only high-to-low passes the event-type gate.
5,shell_middle_tangential,near_post,-0.21145337134963235,-0.25902949448999013,0.04757612314035778,False,0.816329320975468,True,True,same_direction_both_event_types,Both transition directions pass but shift in the same sign.
5,shell_edge_tangential,near_pre,-0.037431080842013284,0.16775813437387188,-0.20518921521588518,True,0.2231252808200228,False,True,high_to_low_dominant,Only high-to-low passes the event-type gate.
5,shell_edge_tangential,near_post,-0.09705055271718149,0.03649565335150055,-0.13354620606868203,True,0.37604786711368704,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
7,all_tangential,near_pre,0.08218445797211985,0.05445769976218967,0.027726758209930175,False,0.6626277170394411,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
7,all_tangential,near_post,0.20012780152267018,-0.050333751091103565,0.25046155261377373,True,0.2515080399032007,True,False,low_to_high_dominant,Only low-to-high passes the event-type gate.
7,shell_edge_minus_core,near_pre,-0.08636403235521481,-0.0424054024871123,-0.04395862986810251,False,0.49100767218347446,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
7,shell_edge_minus_core,near_post,0.2554638656396435,-0.1461421064289264,0.4016059720685699,True,0.5720656659720086,True,False,low_to_high_dominant,Only low-to-high passes the event-type gate.
7,shell_core_tangential,near_pre,0.23763751010097894,0.26594111789011,-0.028303607789131047,False,0.893571900375231,True,True,same_direction_both_event_types,Both transition directions pass but shift in the same sign.
7,shell_core_tangential,near_post,0.034444252447437804,0.08350212820410459,-0.049057875756666786,False,0.4124955038660282,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
7,shell_middle_tangential,near_pre,-0.0858550757837255,0.006655155777569199,-0.0925102315612947,True,0.07751615984049642,False,False,no_signed_gate,Neither transition direction passes the signed event-type gate.
